level,year,name,value,adj_factor,adj_value
towns,2000,Farmington,67073,1.4274416765519968,95743
towns,2000,Glastonbury,80660,1.4274416765519968,115137
towns,2000,Granby,81151,1.4274416765519968,115838
towns,2000,Hartford,24820,1.4274416765519968,35429
towns,2000,Hartland,64674,1.4274416765519968,92318
towns,2000,Manchester,49426,1.4274416765519968,70553
towns,2000,Marlborough,80265,1.4274416765519968,114574
towns,2000,New Britain,34185,1.4274416765519968,48797
towns,2000,Newington,57118,1.4274416765519968,81533
towns,2000,Plainville,48136,1.4274416765519968,68711
towns,2000,Rocky Hill,60247,1.4274416765519968,85999
towns,2000,Simsbury,82996,1.4274416765519968,118472
towns,2000,Southington,60538,1.4274416765519968,86414
towns,2000,South Windsor,73990,1.4274416765519968,105616
towns,2000,Suffield,66698,1.4274416765519968,95208
towns,2000,West Hartford,61665,1.4274416765519968,88023
towns,2000,Wethersfield,53289,1.4274416765519968,76067
towns,2000,Windsor,64137,1.4274416765519968,91552
towns,2000,Windsor Locks,48837,1.4274416765519968,69712
towns,2000,Barkhamsted,65972,1.4274416765519968,94171
towns,2000,Bethlehem,68542,1.4274416765519968,97840
towns,2000,Bridgewater,80420,1.4274416765519968,114795
towns,2000,Canaan,54688,1.4274416765519968,78064
towns,2000,Colebrook,58684,1.4274416765519968,83768
towns,2000,Cornwall,54886,1.4274416765519968,78347
towns,2000,Goshen,64432,1.4274416765519968,91973
towns,2000,Harwinton,66222,1.4274416765519968,94528
towns,2000,Kent,53906,1.4274416765519968,76948
towns,2000,Litchfield,58418,1.4274416765519968,83388
towns,2000,Morris,58050,1.4274416765519968,82863
towns,2000,New Hartford,69321,1.4274416765519968,98952
towns,2000,New Milford,65354,1.4274416765519968,93289
towns,2000,Norfolk,58906,1.4274416765519968,84085
towns,2000,North Canaan,39020,1.4274416765519968,55699
towns,2000,Plymouth,53750,1.4274416765519968,76725
towns,2000,Roxbury,87794,1.4274416765519968,125321
towns,2000,Salisbury,53051,1.4274416765519968,75727
towns,2000,Sharon,53000,1.4274416765519968,75654
towns,2000,Thomaston,54297,1.4274416765519968,77506
towns,2000,Torrington,41841,1.4274416765519968,59726
towns,2000,Warren,62798,1.4274416765519968,89640
towns,2000,Washington,65288,1.4274416765519968,93195
towns,2000,Watertown,59420,1.4274416765519968,84819
towns,2000,Winchester,46671,1.4274416765519968,66620
towns,2000,Woodbury,68322,1.4274416765519968,97526
towns,2000,Chester,65156,1.4274416765519968,93006
towns,2000,Clinton,60471,1.4274416765519968,86319
towns,2000,Cromwell,60662,1.4274416765519968,86591
towns,2000,Deep River,51677,1.4274416765519968,73766
towns,2000,Durham,77639,1.4274416765519968,110825
towns,2000,East Haddam,62304,1.4274416765519968,88935
towns,2000,East Hampton,66326,1.4274416765519968,94676
towns,2000,Essex,66746,1.4274416765519968,95276
towns,2000,Haddam,78571,1.4274416765519968,112156
towns,2000,Killingworth,80805,1.4274416765519968,115344
towns,2000,Middlefield,59448,1.4274416765519968,84859
towns,2000,Middletown,47162,1.4274416765519968,67321
towns,2000,Old Saybrook,62742,1.4274416765519968,89561
towns,2000,Portland,63285,1.4274416765519968,90336
towns,2000,Westbrook,57531,1.4274416765519968,82122
towns,2000,Ansonia,43026,1.4274416765519968,61417
towns,2000,Beacon Falls,56592,1.4274416765519968,80782
towns,2000,Bethany,74898,1.4274416765519968,106913
towns,2000,Branford,58009,1.4274416765519968,82804
towns,2000,Cheshire,80466,1.4274416765519968,114861
towns,2000,Derby,45670,1.4274416765519968,65191
towns,2000,East Haven,47930,1.4274416765519968,68417
towns,2000,Guilford,76843,1.4274416765519968,109689
towns,2000,Hamden,52351,1.4274416765519968,74728
towns,2000,Madison,87497,1.4274416765519968,124897
towns,2000,Meriden,43237,1.4274416765519968,61718
towns,2000,Middlebury,70469,1.4274416765519968,100590
towns,2000,Milford,61183,1.4274416765519968,87335
towns,2000,Naugatuck,51247,1.4274416765519968,73152
towns,2000,New Haven,29604,1.4274416765519968,42258
towns,2000,North Branford,64438,1.4274416765519968,91981
towns,2000,North Haven,65703,1.4274416765519968,93787
towns,2000,Orange,79365,1.4274416765519968,113289
towns,2000,Oxford,77126,1.4274416765519968,110093
towns,2000,Prospect,67560,1.4274416765519968,96438
towns,2000,Seymour,52408,1.4274416765519968,74809
towns,2000,Southbury,61919,1.4274416765519968,88386
towns,2000,Wallingford,57308,1.4274416765519968,81804
towns,2000,Waterbury,34285,1.4274416765519968,48940
towns,2000,West Haven,42393,1.4274416765519968,60514
towns,2000,Wolcott,61376,1.4274416765519968,87611
towns,2000,Woodbridge,102121,1.4274416765519968,145772
towns,2000,Bozrah,57059,1.4274416765519968,81448
towns,2000,Colchester,64807,1.4274416765519968,92508
towns,2000,East Lyme,66539,1.4274416765519968,94981
towns,2000,Franklin,62083,1.4274416765519968,88620
towns,2000,Griswold,50156,1.4274416765519968,71595
towns,2000,Groton,46154,1.4274416765519968,65882
towns,2000,Lebanon,61173,1.4274416765519968,87321
towns,2000,Ledyard,62647,1.4274416765519968,89425
towns,2000,Lisbon,55149,1.4274416765519968,78722
towns,2000,Lyme,73250,1.4274416765519968,104560
towns,2000,Montville,55086,1.4274416765519968,78632
towns,2000,New London,33809,1.4274416765519968,48260
towns,2000,North Stonington,57887,1.4274416765519968,82630
towns,2000,Norwich,39181,1.4274416765519968,55929
towns,2000,Old Lyme,68386,1.4274416765519968,97617
towns,2000,Preston,54942,1.4274416765519968,78427
towns,2000,Salem,68750,1.4274416765519968,98137
towns,2000,Sprague,43125,1.4274416765519968,61558
towns,2000,Stonington,52437,1.4274416765519968,74851
towns,2000,Voluntown,56802,1.4274416765519968,81082
towns,2000,Waterford,56047,1.4274416765519968,80004
towns,2000,Andover,67452,1.4274416765519968,96284
towns,2000,Bolton,67394,1.4274416765519968,96201
towns,2000,Columbia,70208,1.4274416765519968,100218
towns,2000,Coventry,64680,1.4274416765519968,92327
towns,2000,Ellington,62405,1.4274416765519968,89079
towns,2000,Hebron,75138,1.4274416765519968,107255
towns,2000,Mansfield,48888,1.4274416765519968,69785
towns,2000,Somers,65273,1.4274416765519968,93173
towns,2000,Stafford,52699,1.4274416765519968,75225
towns,2000,Tolland,77398,1.4274416765519968,110481
towns,2000,Union,58214,1.4274416765519968,83097
towns,2000,Vernon,47816,1.4274416765519968,68255
towns,2000,Willington,51690,1.4274416765519968,73784
towns,2000,Ashford,55000,1.4274416765519968,78509
towns,2000,Brooklyn,49756,1.4274416765519968,71024
towns,2000,Canterbury,55547,1.4274416765519968,79290
towns,2000,Chaplin,51602,1.4274416765519968,73659
towns,2000,Eastford,57159,1.4274416765519968,81591
towns,2000,Hampton,54464,1.4274416765519968,77744
towns,2000,Killingly,41087,1.4274416765519968,58649
towns,2000,Plainfield,42851,1.4274416765519968,61167
towns,2000,Pomfret,57938,1.4274416765519968,82703
towns,2000,Putnam,43010,1.4274416765519968,61394
towns,2000,Scotland,56848,1.4274416765519968,81147
towns,2000,Sterling,49167,1.4274416765519968,70183
towns,2000,Thompson,46065,1.4274416765519968,65755
towns,2000,Windham,35087,1.4274416765519968,50085
towns,2000,Woodstock,55313,1.4274416765519968,78956
state,2010,Connecticut,67740,1.126716604244694,76324
counties,2010,Fairfield County,81268,1.126716604244694,91566
counties,2010,Hartford County,62590,1.126716604244694,70521
counties,2010,Litchfield County,69639,1.126716604244694,78463
counties,2010,Middlesex County,74906,1.126716604244694,84398
counties,2010,New Haven County,61114,1.126716604244694,68858
counties,2010,New London County,65419,1.126716604244694,73709
counties,2010,Tolland County,77175,1.126716604244694,86954
counties,2010,Windham County,59370,1.126716604244694,66893
towns,2010,Bethel,83483,1.126716604244694,94062
towns,2010,Bridgeport,41047,1.126716604244694,46248
towns,2010,Brookfield,109008,1.126716604244694,122821
towns,2010,Danbury,65275,1.126716604244694,73546
towns,2010,Darien,175766,1.126716604244694,198038
towns,2010,Easton,140370,1.126716604244694,158157
towns,2010,Fairfield,113248,1.126716604244694,127598
towns,2010,Greenwich,124958,1.126716604244694,140792
towns,2010,Monroe,109727,1.126716604244694,123631
towns,2010,New Canaan,179338,1.126716604244694,202063
towns,2010,New Fairfield,101067,1.126716604244694,113874
towns,2010,Newtown,108148,1.126716604244694,121852
towns,2010,Norwalk,76161,1.126716604244694,85812
towns,2010,Redding,130557,1.126716604244694,147101
towns,2010,Ridgefield,132907,1.126716604244694,149749
towns,2010,Shelton,80656,1.126716604244694,90876
towns,2010,Sherman,115417,1.126716604244694,130042
towns,2010,Stamford,75579,1.126716604244694,85156
towns,2010,Stratford,67530,1.126716604244694,76087
towns,2010,Trumbull,102059,1.126716604244694,114992
towns,2010,Weston,209630,1.126716604244694,236194
towns,2010,Westport,150771,1.126716604244694,169876
towns,2010,Wilton,153770,1.126716604244694,173255
towns,2010,Avon,105116,1.126716604244694,118436
towns,2010,Berlin,86211,1.126716604244694,97135
towns,2010,Bloomfield,68372,1.126716604244694,77036
towns,2010,Bristol,58537,1.126716604244694,65955
towns,2010,Burlington,115341,1.126716604244694,129957
towns,2010,Canton,87643,1.126716604244694,98749
towns,2010,East Granby,77596,1.126716604244694,87429
towns,2010,East Hartford,48613,1.126716604244694,54773
towns,2010,East Windsor,64301,1.126716604244694,72449
towns,2010,Enfield,67402,1.126716604244694,75943
towns,2010,Farmington,85417,1.126716604244694,96241
towns,2010,Glastonbury,102482,1.126716604244694,115468
towns,2010,Granby,97500,1.126716604244694,109855
towns,2010,Hartford,28970,1.126716604244694,32641
towns,2010,Hartland,85956,1.126716604244694,96848
towns,2010,Manchester,61571,1.126716604244694,69373
towns,2010,Marlborough,108232,1.126716604244694,121947
towns,2010,New Britain,39706,1.126716604244694,44737
towns,2010,Newington,69085,1.126716604244694,77839
towns,2010,Plainville,63447,1.126716604244694,71487
towns,2010,Rocky Hill,72417,1.126716604244694,81593
towns,2010,Simsbury,113224,1.126716604244694,127571
towns,2010,Southington,77673,1.126716604244694,87515
towns,2010,South Windsor,88350,1.126716604244694,99545
towns,2010,Suffield,90023,1.126716604244694,101430
towns,2010,West Hartford,78530,1.126716604244694,88481
towns,2010,Wethersfield,71284,1.126716604244694,80317
towns,2010,Windsor,78695,1.126716604244694,88667
towns,2010,Windsor Locks,59369,1.126716604244694,66892
towns,2010,Barkhamsted,87656,1.126716604244694,98763
towns,2010,Bethlehem,82899,1.126716604244694,93404
towns,2010,Bridgewater,86607,1.126716604244694,97582
towns,2010,Canaan,54219,1.126716604244694,61089
towns,2010,Colebrook,72000,1.126716604244694,81124
towns,2010,Cornwall,80179,1.126716604244694,90339
towns,2010,Goshen,76705,1.126716604244694,86425
towns,2010,Harwinton,85253,1.126716604244694,96056
towns,2010,Kent,68481,1.126716604244694,77159
towns,2010,Litchfield,78750,1.126716604244694,88729
towns,2010,Morris,81583,1.126716604244694,91921
towns,2010,New Hartford,80718,1.126716604244694,90946
towns,2010,New Milford,84824,1.126716604244694,95573
towns,2010,Norfolk,85526,1.126716604244694,96364
towns,2010,North Canaan,46417,1.126716604244694,52299
towns,2010,Plymouth,71630,1.126716604244694,80707
towns,2010,Roxbury,97768,1.126716604244694,110157
towns,2010,Salisbury,63587,1.126716604244694,71645
towns,2010,Sharon,70104,1.126716604244694,78987
towns,2010,Thomaston,63990,1.126716604244694,72099
towns,2010,Torrington,48409,1.126716604244694,54543
towns,2010,Warren,87857,1.126716604244694,98990
towns,2010,Washington,67417,1.126716604244694,75960
towns,2010,Watertown,77771,1.126716604244694,87626
towns,2010,Winchester,57958,1.126716604244694,65302
towns,2010,Woodbury,80595,1.126716604244694,90808
towns,2010,Chester,80185,1.126716604244694,90346
towns,2010,Clinton,74174,1.126716604244694,83573
towns,2010,Cromwell,82012,1.126716604244694,92404
towns,2010,Deep River,65250,1.126716604244694,73518
towns,2010,Durham,105417,1.126716604244694,118775
towns,2010,East Haddam,82695,1.126716604244694,93174
towns,2010,East Hampton,88281,1.126716604244694,99468
towns,2010,Essex,87480,1.126716604244694,98565
towns,2010,Haddam,86179,1.126716604244694,97099
towns,2010,Killingworth,99500,1.126716604244694,112108
towns,2010,Middlefield,80392,1.126716604244694,90579
towns,2010,Middletown,57655,1.126716604244694,64961
towns,2010,Old Saybrook,79985,1.126716604244694,90120
towns,2010,Portland,86661,1.126716604244694,97642
towns,2010,Westbrook,61069,1.126716604244694,68807
towns,2010,Ansonia,56541,1.126716604244694,63706
towns,2010,Beacon Falls,81214,1.126716604244694,91505
towns,2010,Bethany,113720,1.126716604244694,128130
towns,2010,Branford,70640,1.126716604244694,79591
towns,2010,Cheshire,107936,1.126716604244694,121613
towns,2010,Derby,52029,1.126716604244694,58622
towns,2010,East Haven,59918,1.126716604244694,67511
towns,2010,Guilford,98411,1.126716604244694,110881
towns,2010,Hamden,66695,1.126716604244694,75146
towns,2010,Madison,108175,1.126716604244694,121883
towns,2010,Meriden,53873,1.126716604244694,60700
towns,2010,Middlebury,100866,1.126716604244694,113647
towns,2010,Milford,76973,1.126716604244694,86727
towns,2010,Naugatuck,59393,1.126716604244694,66919
towns,2010,New Haven,38963,1.126716604244694,43900
